item,time_ms,fps,detections
0000105_01748_d_0000070_jpg.rf.379b61df7ed0c65e434eb4ab22f77b1d.jpg,289.1140,3.4588,1
0000105_02201_d_0000071_jpg.rf.b1000a5c55276c44d8c88e90e03a405d.jpg,290.0560,3.4476,1
0000105_02539_d_0000072_jpg.rf.8961f86ced0401b457e0e9d1acfe4594.jpg,288.5000,3.4662,4
0000105_02747_d_0000073_jpg.rf.38e14e1c1818cef8435dc74bf5423777.jpg,288.9800,3.4604,3
0000105_02931_d_0000074_jpg.rf.169ea5ee10f6b4bca08348f744b33bde.jpg,290.1310,3.4467,2
0000118_02327_d_0000076_jpg.rf.ec1e35e1390a11d8c0ba54f645a6832d.jpg,289.3290,3.4563,3
0000118_02632_d_0000077_jpg.rf.eb2093ba42b98872ea0057f06fbada1b.jpg,288.7260,3.4635,4
0000120_00559_d_0000092_jpg.rf.da16b27e9da81415d3da895aa08a52c6.jpg,289.9760,3.4486,24
0000120_01392_d_0000094_jpg.rf.02236b67c35e93f547330fa3508bf27b.jpg,291.0170,3.4362,10
0000120_01535_d_0000095_jpg.rf.45e18f266f5fbaac1e4b66a84efee969.jpg,289.3970,3.4555,1
0000120_02001_d_0000096_jpg.rf.6f16d4312375126d107bb8f645fdc570.jpg,289.3230,3.4563,35
0000120_02946_d_0000098_jpg.rf.2aa55670b0c63bac4560633ef9c1b50d.jpg,290.1930,3.4460,16
0000120_03922_d_0000100_jpg.rf.3aad168490284015b9b3df026813f641.jpg,289.2540,3.4572,21
0000120_04920_d_0000102_jpg.rf.04621d376bec943408d13b2d4cade556.jpg,289.0460,3.4597,47
0000120_05373_d_0000103_jpg.rf.ec5fda0861663b556457289dd14c25d3.jpg,291.0240,3.4361,18
0000120_06848_d_0000106_jpg.rf.9ae667d4eca803f78b018774b8fae692.jpg,289.6870,3.4520,16
0000120_07578_d_0000108_jpg.rf.f002a4f78fd13ed5376f9ad93f612650.jpg,289.5250,3.4539,9
0000127_00002_d_0000119_jpg.rf.bea1559deea047778c67f4bb105241f3.jpg,289.6500,3.4524,21
0000127_00265_d_0000120_jpg.rf.4c930fd77e2444db345e25ab78aa3fad.jpg,290.5210,3.4421,15
0000127_01002_d_0000123_jpg.rf.9b12b50b972270dcfecdacaca026c6e1.jpg,289.5700,3.4534,17
0000152_00100_d_0000145_jpg.rf.d55648539abf216fc7c98ee90abfa27c.jpg,289.5000,3.4542,3
0000152_00599_d_0000146_jpg.rf.33bb22dc82cbcc940b548dece90fbec6.jpg,290.5740,3.4415,3
0000152_02214_d_0000150_jpg.rf.fbf6d578891b4223346ed2585a9ef018.jpg,289.8970,3.4495,5
0000152_03226_d_0000153_jpg.rf.49dd0f734be2543a783011967158f73b.jpg,289.2360,3.4574,8
0000161_01584_d_0000158_jpg.rf.5dc9e34525cb870a6fc660ec97bb38bc.jpg,290.5200,3.4421,28
0000164_00078_d_0000159_jpg.rf.6510098e1b263edeaf6b309fee58e700.jpg,290.2160,3.4457,6
0000164_01068_d_0000162_jpg.rf.75503301fc99e414ad271330f9a2c29d.jpg,290.8680,3.4380,3
0000164_01302_d_0000163_jpg.rf.18a924cc22147340e945c0ea5a9083b5.jpg,288.9130,3.4612,4
0000164_01840_d_0000165_jpg.rf.732cd60b90c124a512af90fb76213630.jpg,290.3520,3.4441,1
0000183_00031_d_0000176_jpg.rf.47cfb6b1d933bd01990ab88ccd286039.jpg,289.4340,3.4550,25
0000183_00216_d_0000177_jpg.rf.8bf3e3d8fe7ba452aec3d6a2e9eac353.jpg,289.0680,3.4594,10
0000184_00512_d_0000182_jpg.rf.edf0eaa9b55a7a32b5e1bce60c3543a2.jpg,290.7220,3.4397,18
0000186_00901_d_0000187_jpg.rf.dcc2c629852ed8bb3ec0ff97003e9e34.jpg,289.7490,3.4513,10
0000186_01387_d_0000188_jpg.rf.c2bd518f2f897254508c74c7b91e545f.jpg,289.8170,3.4505,6
0000187_00024_d_0000189_jpg.rf.f91b5588b50a1e2cf08bad24d6d4bbba.jpg,289.5360,3.4538,3
0000187_00444_d_0000190_jpg.rf.2558895d6c37573e1b8254cde15696e5.jpg,289.9330,3.4491,2
0000187_00666_d_0000191_jpg.rf.478de5e725564bf57e7ee563bf1c5680.jpg,288.7810,3.4628,2
0000189_00297_d_0000198_jpg.rf.944b133ab4e81944e1601fef081c00e5.jpg,288.9480,3.4608,5
0000190_00023_d_0000201_jpg.rf.9a1b7aebb4911b8d0f41ba18900ea4de.jpg,289.9090,3.4494,11
0000190_00172_d_0000202_jpg.rf.17d715ed3d9db5aeeb927b1efe6a26a7.jpg,289.7790,3.4509,10
0000192_00522_d_0000213_jpg.rf.62334661af4eb94f72f731378000c20e.jpg,289.4710,3.4546,6
0000207_00000_d_0000001_jpg.rf.874880b6081c4cb926d6d25c4ca68762.jpg,290.2060,3.4458,6
0000207_00100_d_0000002_jpg.rf.a78477482b7878b1cad5c88d664133f6.jpg,289.5460,3.4537,5
0000207_00300_d_0000004_jpg.rf.0bb9178fcc09db7818146b50b8bd6057.jpg,289.7930,3.4507,1
0000207_00500_d_0000006_jpg.rf.d9fc7a15e831c7708cc6ed12cf926a8d.jpg,291.2200,3.4338,1
0000207_00600_d_0000007_jpg.rf.8f11e2e3dee052083720583f1e534198.jpg,290.6920,3.4401,1
0000207_00700_d_0000008_jpg.rf.be8a36b634c085c2797a00832427204c.jpg,289.5400,3.4538,1
0000250_02350_d_0000001_jpg.rf.bd09d86a46e4ae0825749662079226d7.jpg,289.5890,3.4532,1
0000259_00000_d_0000001_jpg.rf.2c7592571645a3c6189f90bda677fed8.jpg,290.9610,3.4369,5
0000259_00500_d_0000002_jpg.rf.ddff11f1b6fd9a899e439c58c3316628.jpg,289.4120,3.4553,9
0000259_01000_d_0000003_jpg.rf.449ab57074dae83a5bd72d643e12c5e5.jpg,288.7270,3.4635,10
0000259_02000_d_0000005_jpg.rf.4301ff09cab0e9eba6eea0de42e68127.jpg,288.9900,3.4603,2
0000259_02500_d_0000006_jpg.rf.e0bb8d942f838366a38ff6ff6fee1274.jpg,289.8580,3.4500,6
0000259_03000_d_0000007_jpg.rf.cfab9bf591191468308d0b561ba4cbdb.jpg,289.1160,3.4588,7
0000259_03500_d_0000008_jpg.rf.4ca2de348c4d92819b314d174817b9d9.jpg,289.3410,3.4561,4
0000265_00500_d_0000002_jpg.rf.5059bd84856f9d9f2ee16e33d409cb88.jpg,290.3270,3.4444,3
0000265_01500_d_0000004_jpg.rf.a2a3453e397f8997a5c7ec3a89f3a7c8.jpg,289.3370,3.4562,15
0000265_02000_d_0000005_jpg.rf.dee0bdf6be177d66a3c03262322bc4e1.jpg,289.7070,3.4518,10
0000265_03000_d_0000007_jpg.rf.88d67e9d436ca2089f4290123e04d481.jpg,290.3300,3.4444,19
0000265_03500_d_0000008_jpg.rf.81409d9b2db1d7ff8fbe00117c5bc411.jpg,290.2970,3.4447,7
0000265_04000_d_0000009_jpg.rf.1f6d164d8cfc827ab392f306370aa751.jpg,289.3860,3.4556,11
0000265_04500_d_0000010_jpg.rf.42e5de9d7f8f38a2d173c62a070b0138.jpg,289.7120,3.4517,17
0000265_05000_d_0000011_jpg.rf.d0aae1c45514e330483a2cd769487b3a.jpg,293.2360,3.4102,12
