item,time_ms,fps,detections
0000259_03500_d_0000008_jpg.rf.4ca2de348c4d92819b314d174817b9d9.jpg,170.4560,5.8666,4
0000265_00500_d_0000002_jpg.rf.5059bd84856f9d9f2ee16e33d409cb88.jpg,157.2720,6.3584,3
0000265_01500_d_0000004_jpg.rf.a2a3453e397f8997a5c7ec3a89f3a7c8.jpg,157.4340,6.3519,15
0000265_02000_d_0000005_jpg.rf.dee0bdf6be177d66a3c03262322bc4e1.jpg,157.4840,6.3499,10
0000265_03000_d_0000007_jpg.rf.88d67e9d436ca2089f4290123e04d481.jpg,157.8330,6.3358,19
0000265_03500_d_0000008_jpg.rf.81409d9b2db1d7ff8fbe00117c5bc411.jpg,157.9020,6.3330,7
0000265_04000_d_0000009_jpg.rf.1f6d164d8cfc827ab392f306370aa751.jpg,162.6330,6.1488,11
0000265_04500_d_0000010_jpg.rf.42e5de9d7f8f38a2d173c62a070b0138.jpg,157.7070,6.3409,17
0000265_05000_d_0000011_jpg.rf.d0aae1c45514e330483a2cd769487b3a.jpg,157.5090,6.3488,12
0000272_00000_d_0000001_jpg.rf.ba3ea4b7377490299381f7c06cacacb8.jpg,157.4570,6.3509,9
0000272_01500_d_0000004_jpg.rf.7cacc1624766cc699b514ddb0525bf3b.jpg,156.9560,6.3712,6
0000272_02000_d_0000005_jpg.rf.8af2364d7a700e9c85af13d2b1b56de1.jpg,157.2820,6.3580,2
0000272_02500_d_0000006_jpg.rf.7304de6dd563809676d35c547aff4b54.jpg,161.8150,6.1799,8
0000272_03500_d_0000008_jpg.rf.c77b2424e977412beef14526a90ae5aa.jpg,157.7200,6.3403,7
0000272_04000_d_0000009_jpg.rf.60d4da27cfb156a58f4825708e8f6e53.jpg,158.0780,6.3260,6
0000272_04500_d_0000010_jpg.rf.ceb040d10963fffc83208e7c85b07a63.jpg,158.2880,6.3176,15
0000272_05000_d_0000011_jpg.rf.6a20e910768f8d430010b4b5e733f258.jpg,158.2130,6.3206,9
0000272_05500_d_0000012_jpg.rf.e30b04e2f73959a0767021c818ae2357.jpg,157.6640,6.3426,11
0000278_02251_d_0000001_jpg.rf.ec0a00447bbcf4b8379d0269236c2b38.jpg,161.7370,6.1829,3
0000278_02351_d_0000002_jpg.rf.d85185e74eaeabe2f1ca1b48bd7b9639.jpg,157.7360,6.3397,4
0000278_02451_d_0000003_jpg.rf.42e825d73916907affba1e43ead38341.jpg,158.0460,6.3273,3
0000278_02951_d_0000008_jpg.rf.05d58950c03d22e773c5ac98cff9e489.jpg,158.2780,6.3180,6
0000294_00000_d_0000053_jpg.rf.a6be1b9528d2ef102c771597904077e3.jpg,157.8620,6.3346,18
0000298_00000_d_0000070_jpg.rf.086619e08f86cc0c46622f7382eb8472.jpg,157.9550,6.3309,8
0000299_00000_d_0000088_jpg.rf.9a8a9f11693a91403caad04d1d4b7d56.jpg,162.7630,6.1439,12
0000299_01200_d_0000096_jpg.rf.35fadb6f460559d4a2561b498f8c22d7.jpg,158.8830,6.2939,5
0000299_01650_d_0000099_jpg.rf.66841c7b5476a882c084a874ea6d4f2a.jpg,158.0190,6.3284,1
0000299_01800_d_0000100_jpg.rf.df6e96e80f233a0c01e2a1e6fd399693.jpg,158.1490,6.3232,3
0000299_02500_d_0000102_jpg.rf.3a398b1f33285dbff18bb89207bfbac3.jpg,158.0710,6.3263,3
0000299_03500_d_0000104_jpg.rf.d1f22cd4213e5bfd141d74bc0203e194.jpg,157.2680,6.3586,1
0000299_04000_d_0000105_jpg.rf.0041a0f93941eb1657d2cf6e666958dc.jpg,169.0130,5.9167,4
0000299_04500_d_0000106_jpg.rf.abe3b4a8dc20371d4e4c8fcef25961cd.jpg,158.5000,6.3091,2
0000299_05000_d_0000107_jpg.rf.523c0e04a145d83fc75b3d5a82cc7897.jpg,157.9960,6.3293,8
0000299_05500_d_0000108_jpg.rf.30e1395a51eb48123e1457a2d1dded21.jpg,157.4120,6.3528,15
0000310_02500_d_0000123_jpg.rf.53045a7cb7e9a01361b9ab00af5a4d42.jpg,158.1080,6.3248,14
0000310_03000_d_0000124_jpg.rf.f82d79b61e0067f8dcbd3416069b8743.jpg,157.8180,6.3364,7
0000310_03500_d_0000125_jpg.rf.4979833b63656dda51bc529d65bf9156.jpg,168.7460,5.9261,5
0000310_04000_d_0000126_jpg.rf.9a144831ac524294f569f8a567f89f10.jpg,157.8180,6.3364,22
0000310_05822_d_0000130_jpg.rf.43b3ac5d5eb4b517f245040f67bd053e.jpg,157.5840,6.3458,15
0000314_00000_d_0000142_jpg.rf.99ce8748d7da91e3f7496f412d2e9be0.jpg,157.6610,6.3427,11
0000314_00500_d_0000143_jpg.rf.6c979d874d33c6d4ff3cc84bac55e683.jpg,157.8060,6.3369,14
0000314_01000_d_0000144_jpg.rf.78b7111d461b0f2cd61c7939d496e4ce.jpg,157.6230,6.3443,9
0000314_01500_d_0000145_jpg.rf.66630fc30319e6c0f06a70179e01e457.jpg,169.6160,5.8957,9
0000314_01908_d_0000146_jpg.rf.6f2ba380c43ad7261ffb8c9aa411b05d.jpg,158.0870,6.3256,13
0000320_00150_d_0000003_jpg.rf.8c6d8347a4f4a4e5fc0c233937ad8ecf.jpg,157.3100,6.3569,22
0000320_00300_d_0000004_jpg.rf.90edd28fdd917be73cb2787222757a4a.jpg,157.2260,6.3603,15
0000320_00450_d_0000005_jpg.rf.179628072c78dc5208a0cc450f55d244.jpg,157.3750,6.3542,4
0000320_00600_d_0000006_jpg.rf.8940fd8979ab94d3a63de3194f66f7de.jpg,156.7940,6.3778,5
0000320_00750_d_0000007_jpg.rf.1e80eeb790dbbec587effe6f59020194.jpg,159.1300,6.2842,10
0000320_00900_d_0000008_jpg.rf.8a62adec46fc0c9622e20d9556a28091.jpg,158.2630,6.3186,14
0000320_01050_d_0000009_jpg.rf.6a0fd897fcf017febedcc93dfc9629c6.jpg,157.2560,6.3591,17
0000320_01200_d_0000010_jpg.rf.4df918838b30349a5727e3f4cc279e42.jpg,156.9430,6.3717,17
0000320_03950_d_0000011_jpg.rf.ad8cf99a0d1d81a711e97c8bdbd2d856.jpg,157.8960,6.3333,22
0000320_04050_d_0000012_jpg.rf.052ef473dd0c02e25c2b5595df7d184f.jpg,157.5670,6.3465,18
0000320_04200_d_0000013_jpg.rf.6df03cab4e273cca17f09359a51d0aed.jpg,157.9860,6.3297,12
0000320_04375_d_0000014_jpg.rf.4b4f42021f48943f45797114867bd296.jpg,163.0530,6.1330,5
0000321_00000_d_0000015_jpg.rf.ccc5d53eabfa6ca7665fa5e6fc961c62.jpg,157.6010,6.3451,5
0000321_00268_d_0000016_jpg.rf.27d2c42fc6f846fc33628878e61ccef8.jpg,156.9370,6.3720,2
0000328_00150_d_0000019_jpg.rf.9b6724232efd20845c84f0c403f09a93.jpg,158.1020,6.3250,3
0000328_00300_d_0000020_jpg.rf.adca671175fc322834b8fed99f9722c0.jpg,157.6640,6.3426,5
0000328_00600_d_0000022_jpg.rf.41c96b158917d84d7def97275f3360c3.jpg,157.3170,6.3566,6
